alpha,instance,n,opt,lm1,lms1,lm2,lm3,lm4,gap_lm1_pct,gap_lms1_pct,gap_lm2_pct,gap_lm3_pct,gap_lm4_pct
0.25,wee-mag_c=45.alb,75,38,34,34,31,31,,10.526315789473683,10.526315789473683,18.421052631578945,18.421052631578945,
0.25,wee-mag_c=46.alb,75,34,33,33,27,30,,2.941176470588235,2.941176470588235,20.588235294117645,11.76470588235294,
0.25,wee-mag_c=47.alb,75,33,32,32,23,30,,3.0303030303030303,3.0303030303030303,30.303030303030305,9.090909090909092,
0.25,wee-mag_c=49.alb,75,32,31,31,17,30,,3.125,3.125,46.875,6.25,
0.25,wee-mag_c=50.alb,75,32,30,30,13,30,,6.25,6.25,59.375,6.25,
0.25,wee-mag_c=52.alb,75,31,29,29,5,30,,6.451612903225806,6.451612903225806,83.87096774193549,3.225806451612903,
0.25,wee-mag_c=54.alb,75,31,28,28,1,30,,9.67741935483871,9.67741935483871,96.7741935483871,3.225806451612903,
0.25,wee-mag_c=56.alb,75,30,27,27,0,30,,10.0,10.0,100.0,0.0,
0.50,Arc111_c=10027.alb,111,16,15,15,4,7,,6.25,6.25,75.0,56.25,
0.50,Arc111_c=10743.alb,111,15,14,14,2,4,,6.666666666666667,6.666666666666667,86.66666666666667,73.33333333333333,
0.50,Arc111_c=11570.alb,111,13,13,13,0,4,,0.0,0.0,100.0,69.23076923076923,
0.50,Arc111_c=17067.alb,111,9,9,9,0,1,,0.0,0.0,100.0,88.88888888888889,
0.50,Arc111_c=5785.alb,111,27,26,26,17,21,,3.7037037037037033,3.7037037037037033,37.03703703703704,22.22222222222222,
0.50,Arc111_c=6016.alb,111,26,25,25,15,18,,3.8461538461538463,3.8461538461538463,42.30769230769231,30.76923076923077,
0.50,Arc111_c=6267.alb,111,25,24,24,14,17,,4.0,4.0,44.0,32.0,
0.50,Arc111_c=6540.alb,111,24,23,23,13,17,,4.166666666666666,4.166666666666666,45.83333333333333,29.166666666666668,
0.50,Arc111_c=6837.alb,111,23,22,22,12,15,,4.3478260869565215,4.3478260869565215,47.82608695652174,34.78260869565217,
0.50,Arc111_c=7162.alb,111,22,21,21,8,13,,4.545454545454546,4.545454545454546,63.63636363636363,40.909090909090914,
0.50,Arc111_c=7520.alb,111,21,20,20,8,13,,4.761904761904762,4.761904761904762,61.904761904761905,38.095238095238095,
0.50,Arc111_c=7916.alb,111,20,19,19,8,12,,5.0,5.0,60.0,40.0,
0.50,Arc111_c=8356.alb,111,19,18,18,5,10,,5.263157894736842,5.263157894736842,73.68421052631578,47.368421052631575,
0.50,Arc111_c=9400.alb,111,17,16,16,5,7,,5.88235294117647,5.88235294117647,70.58823529411765,58.82352941176471,
0.50,Arc83_c=3786.alb,83,21,20,20,5,9,,4.761904761904762,4.761904761904762,76.19047619047619,57.14285714285714,
0.50,Arc83_c=3985.alb,83,20,19,19,5,6,,5.0,5.0,75.0,70.0,
0.50,Arc83_c=4206.alb,83,19,18,18,4,6,,5.263157894736842,5.263157894736842,78.94736842105263,68.42105263157895,
0.50,Arc83_c=4454.alb,83,18,17,17,4,6,,5.555555555555555,5.555555555555555,77.77777777777779,66.66666666666666,
0.50,Arc83_c=4732.alb,83,17,16,16,3,6,,5.88235294117647,5.88235294117647,82.35294117647058,64.70588235294117,
0.50,Arc83_c=5048.alb,83,16,15,15,3,5,,6.25,6.25,81.25,68.75,
0.50,Arc83_c=5408.alb,83,15,14,14,2,4,,6.666666666666667,6.666666666666667,86.66666666666667,73.33333333333333,
0.50,Arc83_c=5824.alb,83,14,13,13,1,3,,7.142857142857142,7.142857142857142,92.85714285714286,78.57142857142857,
0.50,Arc83_c=6309.alb,83,13,12,12,1,2,,7.6923076923076925,7.6923076923076925,92.3076923076923,84.61538461538461,
0.50,Arc83_c=6883.alb,83,12,11,11,1,2,,8.333333333333332,8.333333333333332,91.66666666666666,83.33333333333334,
0.50,Arc83_c=7571.alb,83,11,10,10,0,2,,9.090909090909092,9.090909090909092,100.0,81.81818181818183,
0.50,Sawyer30_c=33.alb,30,11,10,10,5,7,,9.090909090909092,9.090909090909092,54.54545454545454,36.36363636363637,
0.50,Sawyer30_c=47.alb,30,7,7,7,1,4,,0.0,0.0,85.71428571428571,42.857142857142854,
0.50,Tonge70_c=160.alb,70,23,22,22,14,16,,4.3478260869565215,4.3478260869565215,39.130434782608695,30.434782608695656,
0.50,Tonge70_c=168.alb,70,22,21,21,13,15,,4.545454545454546,4.545454545454546,40.909090909090914,31.818181818181817,
0.50,Tonge70_c=176.alb,70,21,20,20,12,15,,4.761904761904762,4.761904761904762,42.857142857142854,28.57142857142857,
0.50,Tonge70_c=185.alb,70,20,19,19,9,14,,5.0,5.0,55.00000000000001,30.0,
0.50,Tonge70_c=195.alb,70,19,18,18,8,13,,5.263157894736842,5.263157894736842,57.89473684210527,31.57894736842105,
0.50,Tonge70_c=207.alb,70,18,17,17,7,11,,5.555555555555555,5.555555555555555,61.111111111111114,38.88888888888889,
0.50,Tonge70_c=220.alb,70,17,16,16,7,9,,5.88235294117647,5.88235294117647,58.82352941176471,47.05882352941176,
0.50,Tonge70_c=234.alb,70,16,15,15,7,8,,6.25,6.25,56.25,50.0,
0.50,Tonge70_c=251.alb,70,14,14,14,6,7,,0.0,0.0,57.14285714285714,50.0,
0.50,Tonge70_c=270.alb,70,14,13,13,4,5,,7.142857142857142,7.142857142857142,71.42857142857143,64.28571428571429,
0.50,Tonge70_c=293.alb,70,13,12,12,2,4,,7.6923076923076925,7.6923076923076925,84.61538461538461,69.23076923076923,
0.50,Tonge70_c=320.alb,70,11,11,11,0,4,,0.0,0.0,100.0,63.63636363636363,
0.50,arc111_c=11378.alb,111,14,14,14,1,4,,0.0,0.0,92.85714285714286,71.42857142857143,
0.50,arc111_c=5755.alb,111,27,27,27,18,21,,0.0,0.0,33.33333333333333,22.22222222222222,
0.50,arc111_c=8847.alb,111,18,17,17,5,9,,5.555555555555555,5.555555555555555,72.22222222222221,50.0,
0.50,arc83_c=10816.alb,83,8,7,7,0,1,,12.5,12.5,100.0,87.5,
0.50,arc83_c=5853.alb,83,14,13,13,1,3,,7.142857142857142,7.142857142857142,92.85714285714286,78.57142857142857,
